"id","gen","sp","ssp","en","lat","lng","file","q","rec_length","species"
"70968","Myiarchus","cinerascens","","Ash-throated Flycatcher",29.498,-99.702,"//www.xeno-canto.org/70968/download","A",12,"Myiarchus cinerascens"
"34316","Myiarchus","cinerascens","","Ash-throated Flycatcher",29.2723,-103.2934,"//www.xeno-canto.org/34316/download","A",87,"Myiarchus cinerascens"
"34143","Myiarchus","cinerascens","","Ash-throated Flycatcher",31.912536,-104.878922,"//www.xeno-canto.org/34143/download","A",16,"Myiarchus cinerascens"
"34142","Myiarchus","cinerascens","","Ash-throated Flycatcher",31.912536,-104.878922,"//www.xeno-canto.org/34142/download","A",79,"Myiarchus cinerascens"
"34090","Myiarchus","cinerascens","","Ash-throated Flycatcher",31.912536,-104.878922,"//www.xeno-canto.org/34090/download","A",37,"Myiarchus cinerascens"
"34089","Myiarchus","cinerascens","","Ash-throated Flycatcher",31.912536,-104.878922,"//www.xeno-canto.org/34089/download","A",73,"Myiarchus cinerascens"
"460601","Vireo","griseus","","White-eyed Vireo",29.8235,-99.5773,"//www.xeno-canto.org/460601/download","A",50,"Vireo griseus"
"460600","Vireo","griseus","","White-eyed Vireo",29.8235,-99.5773,"//www.xeno-canto.org/460600/download","A",85,"Vireo griseus"
"452765","Vireo","griseus","","White-eyed Vireo",26.1253,-97.9532,"//www.xeno-canto.org/452765/download","A",42,"Vireo griseus"
"424697","Vireo","griseus","","White-eyed Vireo",31.8902,-97.6998,"//www.xeno-canto.org/424697/download","A",53,"Vireo griseus"
"424513","Vireo","griseus","","White-eyed Vireo",31.891,-97.7051,"//www.xeno-canto.org/424513/download","A",59,"Vireo griseus"
"404745","Vireo","griseus","","White-eyed Vireo",29.4758,-100.2272,"//www.xeno-canto.org/404745/download","A",31,"Vireo griseus"
"404739","Vireo","griseus","","White-eyed Vireo",29.4758,-100.2272,"//www.xeno-canto.org/404739/download","A",61,"Vireo griseus"
"383679","Vireo","griseus","","White-eyed Vireo",36.4825,-93.924,"//www.xeno-canto.org/383679/download","A",36,"Vireo griseus"
"232127","Vireo","griseus","","White-eyed Vireo",26.2156,-97.4055,"//www.xeno-canto.org/232127/download","A",30,"Vireo griseus"
"232126","Vireo","griseus","","White-eyed Vireo",26.2156,-97.4055,"//www.xeno-canto.org/232126/download","A",15,"Vireo griseus"
"232125","Vireo","griseus","","White-eyed Vireo",35.7832,-94.2443,"//www.xeno-canto.org/232125/download","A",9,"Vireo griseus"
"217073","Vireo","griseus","","White-eyed Vireo",32.4398,-93.6655,"//www.xeno-canto.org/217073/download","A",34,"Vireo griseus"
"143926","Vireo","griseus","micrus","White-eyed Vireo",25.8501,-97.4169,"//www.xeno-canto.org/143926/download","A",141,"Vireo griseus"
"123341","Vireo","griseus","","White-eyed Vireo",28.2518,-96.7915,"//www.xeno-canto.org/123341/download","A",34,"Vireo griseus"
"98647","Vireo","griseus","","White-eyed Vireo",30.4334,-91.1667,"//www.xeno-canto.org/98647/download","A",87,"Vireo griseus"
"71005","Vireo","griseus","","White-eyed Vireo",29.8242,-99.5845,"//www.xeno-canto.org/71005/download","A",13,"Vireo griseus"
"34949","Vireo","griseus","","White-eyed Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34949/download","A",54,"Vireo griseus"
"34948","Vireo","griseus","","White-eyed Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34948/download","A",23,"Vireo griseus"
"34947","Vireo","griseus","","White-eyed Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34947/download","A",63,"Vireo griseus"
"33623","Vireo","griseus","","White-eyed Vireo",35.6826,-93.7862,"//www.xeno-canto.org/33623/download","A",19,"Vireo griseus"
"33622","Vireo","griseus","","White-eyed Vireo",35.6826,-93.7862,"//www.xeno-canto.org/33622/download","A",40,"Vireo griseus"
"21959","Vireo","griseus","","White-eyed Vireo",28.1137,-97.4228,"//www.xeno-canto.org/21959/download","A",22,"Vireo griseus"
"21958","Vireo","griseus","","White-eyed Vireo",28.1137,-97.4228,"//www.xeno-canto.org/21958/download","A",42,"Vireo griseus"
"21651","Vireo","griseus","","White-eyed Vireo",28.1137,-97.4228,"//www.xeno-canto.org/21651/download","A",24,"Vireo griseus"
"21649","Vireo","griseus","","White-eyed Vireo",28.1137,-97.4228,"//www.xeno-canto.org/21649/download","A",12,"Vireo griseus"
"443821","Vireo","bellii","","Bell's Vireo",33.0621,-96.9796,"//www.xeno-canto.org/443821/download","A",18,"Vireo bellii"
"404716","Vireo","bellii","","Bell's Vireo",29.2834,-100.3724,"//www.xeno-canto.org/404716/download","A",44,"Vireo bellii"
"277293","Vireo","bellii","bellii","Bell's Vireo",32.1237,-93.4713,"//www.xeno-canto.org/277293/download","A",4,"Vireo bellii"
"178894","Vireo","bellii","","Bell's Vireo",29.557,-94.393,"//www.xeno-canto.org/178894/download","A",9,"Vireo bellii"
"128936","Vireo","bellii","","Bell's Vireo",30.3494,-98.12,"//www.xeno-canto.org/128936/download","A",117,"Vireo bellii"
"34881","Vireo","bellii","bellii","Bell's Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34881/download","A",88,"Vireo bellii"
"34880","Vireo","bellii","bellii","Bell's Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34880/download","A",96,"Vireo bellii"
"34879","Vireo","bellii","bellii","Bell's Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34879/download","A",125,"Vireo bellii"
"34315","Vireo","bellii","medius","Bell's Vireo",29.2164,-103.3587,"//www.xeno-canto.org/34315/download","A",34,"Vireo bellii"
"34314","Vireo","bellii","medius","Bell's Vireo",29.2164,-103.3587,"//www.xeno-canto.org/34314/download","A",37,"Vireo bellii"
"428771","Vireo","atricapilla","","Black-capped Vireo",34.7097,-98.639,"//www.xeno-canto.org/428771/download","A",21,"Vireo atricapilla"
"160976","Vireo","atricapilla","","Black-capped Vireo",29.6183,-100.4509,"//www.xeno-canto.org/160976/download","A",41,"Vireo atricapilla"
"160975","Vireo","atricapilla","","Black-capped Vireo",29.6183,-100.4509,"//www.xeno-canto.org/160975/download","A",14,"Vireo atricapilla"
"160974","Vireo","atricapilla","","Black-capped Vireo",29.6183,-100.4509,"//www.xeno-canto.org/160974/download","A",134,"Vireo atricapilla"
"160973","Vireo","atricapilla","","Black-capped Vireo",29.6183,-100.4509,"//www.xeno-canto.org/160973/download","A",13,"Vireo atricapilla"
"160972","Vireo","atricapilla","","Black-capped Vireo",29.6183,-100.4509,"//www.xeno-canto.org/160972/download","A",4,"Vireo atricapilla"
"141417","Vireo","atricapilla","","Black-capped Vireo",30.0801,-99.5027,"//www.xeno-canto.org/141417/download","A",28,"Vireo atricapilla"
"105703","Vireo","atricapilla","","Black-capped Vireo",30.0800570464114,-99.5026931757457,"//www.xeno-canto.org/105703/download","A",53,"Vireo atricapilla"
"70974","Vireo","atricapilla","","Black-capped Vireo",30.069,-99.421,"//www.xeno-canto.org/70974/download","A",16,"Vireo atricapilla"
"47816","Vireo","atricapilla","","Black-capped Vireo",30.422,-97.826,"//www.xeno-canto.org/47816/download","A",35,"Vireo atricapilla"
"34849","Vireo","atricapilla","","Black-capped Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34849/download","A",12,"Vireo atricapilla"
"34848","Vireo","atricapilla","","Black-capped Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34848/download","A",16,"Vireo atricapilla"
"34845","Vireo","atricapilla","","Black-capped Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34845/download","A",66,"Vireo atricapilla"
"34844","Vireo","atricapilla","","Black-capped Vireo",29.7417,-100.3948,"//www.xeno-canto.org/34844/download","A",41,"Vireo atricapilla"
"21738","Vireo","atricapilla","","Black-capped Vireo",29.8242,-99.5845,"//www.xeno-canto.org/21738/download","A",47,"Vireo atricapilla"
"5562","Vireo","atricapilla","","Black-capped Vireo",29.495493,-99.713738,"//www.xeno-canto.org/5562/download","A",21,"Vireo atricapilla"
"456249","Cyanocorax","luxuosus","","Green Jay",26.1762,-98.3862,"//www.xeno-canto.org/456249/download","A",4,"Cyanocorax luxuosus"
"452997","Cyanocorax","luxuosus","","Green Jay",26.5878,-99.1487,"//www.xeno-canto.org/452997/download","A",45,"Cyanocorax luxuosus"
"452743","Cyanocorax","luxuosus","","Green Jay",26.0737,-98.1442,"//www.xeno-canto.org/452743/download","A",6,"Cyanocorax luxuosus"
"368411","Cyanocorax","luxuosus","","Green Jay",26.5553,-98.068,"//www.xeno-canto.org/368411/download","A",56,"Cyanocorax luxuosus"
"297556","Cyanocorax","luxuosus","","Green Jay",26.5151,-99.1156,"//www.xeno-canto.org/297556/download","A",2,"Cyanocorax luxuosus"
"278475","Cyanocorax","luxuosus","","Green Jay",26.0737,-98.1442,"//www.xeno-canto.org/278475/download","A",98,"Cyanocorax luxuosus"
"278387","Cyanocorax","luxuosus","","Green Jay",26.1762,-98.3862,"//www.xeno-canto.org/278387/download","A",40,"Cyanocorax luxuosus"
"278361","Cyanocorax","luxuosus","","Green Jay",27.0446,-99.4449,"//www.xeno-canto.org/278361/download","A",86,"Cyanocorax luxuosus"
"278357","Cyanocorax","luxuosus","","Green Jay",27.0446,-99.4449,"//www.xeno-canto.org/278357/download","A",136,"Cyanocorax luxuosus"
"163689","Cyanocorax","luxuosus","","Green Jay",26.1762,-98.3862,"//www.xeno-canto.org/163689/download","A",5,"Cyanocorax luxuosus"
"122467","Cyanocorax","luxuosus","","Green Jay",26.1253,-97.9532,"//www.xeno-canto.org/122467/download","A",11,"Cyanocorax luxuosus"
"21661","Cyanocorax","luxuosus","","Green Jay",28.1137,-97.4228,"//www.xeno-canto.org/21661/download","A",85,"Cyanocorax luxuosus"
"7734","Cyanocorax","luxuosus","luxuosus","Green Jay",26.0737,-98.1442,"//www.xeno-canto.org/7734/download","A",3,"Cyanocorax luxuosus"
"382347","Cyanocitta","cristata","","Blue Jay",29.6884,-95.4228,"//www.xeno-canto.org/382347/download","A",36,"Cyanocitta cristata"
"370249","Cyanocitta","cristata","","Blue Jay",38.4489,-98.7521,"//www.xeno-canto.org/370249/download","A",56,"Cyanocitta cristata"
"234669","Cyanocitta","cristata","","Blue Jay",29.5974,-95.5859,"//www.xeno-canto.org/234669/download","A",40,"Cyanocitta cristata"
"233403","Cyanocitta","cristata","","Blue Jay",29.5831,-95.6131,"//www.xeno-canto.org/233403/download","A",83,"Cyanocitta cristata"
"233380","Cyanocitta","cristata","","Blue Jay",29.5833,-95.6113,"//www.xeno-canto.org/233380/download","A",40,"Cyanocitta cristata"
